Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Finland,72891.83,78361.69,34483.9,11891.0,2.9,6.59,38407.93,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Denmark,12469.92,13127.28,5776.8,1992.0,2.9,6.59,6693.12,6.26
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,France,96009.15,114692.36,46306.58,17404.0,2.765,6.59,49702.57,5.80833333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Germany,137602.28,169692.5,66847.97,25750.0,2.72,6.59,70754.31,5.69444444
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United Kingdom,11637.34,12250.81,5391.1,1859.0,2.9,6.59,6246.24,6.26
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Belgium,12843.9,13245.9,5829.0,2010.0,2.9,6.59,7014.9,6.39
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Italy,103089.33,131865.9,50526.78,20010.0,2.66857143,6.59,52562.55,5.55142857
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Spain,13036.14,13878.54,6107.4,2106.0,2.9,6.59,6928.74,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United States,340867.26,407123.61,164590.44,61779.0,2.7785,6.59,176276.82,5.837999999999999
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Canada,138986.22,171649.73,67560.23,26047.0,2.72,6.59,71425.99,5.68666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Mexico,20358.3,33964.86,10771.86,5154.0,2.09,6.59,9586.44,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Brazil,120190.31,156433.42,58980.88,23738.0,2.63,6.59,61209.43,5.47444444
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Japan,64370.58,81860.98,31495.9,12422.0,2.6975,6.59,32874.68,5.63
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Korea,74254.93,98184.41,36862.37,14899.0,2.63,6.59,37392.56,5.40333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,China,278106.13,348446.25,136239.21,52875.0,2.72,6.59,141866.92,5.64555556
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Singapore,17421.46,18728.78,8241.8,2842.0,2.9,6.59,9179.66,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Netherlands,96692.34,115918.1,46776.32,17590.0,2.765,6.59,49916.02,5.78666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Sweden,49298.46,63224.46,24049.62,9594.0,2.6975,6.59,25248.84,5.6825
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Finland,78856.6,100537.04,38794.34,15256.0,2.6975,6.59,40062.26,5.585
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Denmark,30853.1,44093.69,15535.34,6691.0,2.495,6.59,15317.76,5.105
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,France,91818.01,121196.69,45272.78,18391.0,2.63,6.59,46545.23,5.46666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Germany,70482.18,74427.46,32752.6,11294.0,2.9,6.59,37729.58,6.24833333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United Kingdom,168290.41,199446.35,80612.15,30265.0,2.77538462,6.59,87678.26,5.87769231
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Belgium,42871.8,56911.24,20957.14,8636.0,2.59625,6.59,21914.66,5.475
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Austria,36562.75,45022.88,17574.77,6832.0,2.6975,6.59,18987.98,5.7175
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Italy,12875.2,13707.2,6032.0,2080.0,2.9,6.59,6843.2,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Spain,108368.09,127219.95,51868.89,19305.0,2.79875,6.59,56499.2,5.9275
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Canada,38011.56,40337.39,17750.9,6121.0,2.9,6.59,20260.66,6.21333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Mexico,26152.75,27842.75,12252.5,4225.0,2.9,6.59,13900.25,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Japan,13234.22,14089.42,6200.2,2138.0,2.9,6.59,7034.02,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,China,28198.0,30314.0,13340.0,4600.0,2.9,6.59,14858.0,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Belgium,5489.01,5660.81,2491.1,859.0,2.9,6.59,2997.91,6.39
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,United States,48205.04,68628.26,24392.09,10414.0,2.495,6.59,23812.95,5.04
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Japan,13884.17,14781.37,6504.7,2243.0,2.9,6.59,7379.47,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Korea,20909.43,22478.49,9891.9,3411.0,2.9,6.59,11017.53,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Netherlands,18592.65,31019.13,9837.63,4707.0,2.09,6.59,8755.02,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,France,42909.66,56726.72,21169.16,8608.0,2.63,6.59,21740.5,5.46666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mail,Spain,14010.65,23374.73,7413.23,3547.0,2.09,6.59,6597.42,3.95
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Canada,147265.42,168769.9,70010.02,25610.0,2.82636364,6.59,77255.4,6.01181818
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Japan,72181.72,91521.92,35412.77,13888.0,2.6975,6.59,36768.95,5.6
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Netherlands,15846.05,17035.15,7496.5,2585.0,2.9,6.59,8349.55,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Sweden,12807.11,13634.71,6000.1,2069.0,2.9,6.59,6807.01,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Germany,131629.64,188539.9,66575.41,28610.0,2.495,6.59,65054.23,5.06375
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Italy,57185.2,73445.55,27959.46,11145.0,2.6975,6.59,29225.74,5.665
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,E-mail,Spain,27749.54,39902.45,13998.74,6055.0,2.495,6.59,13750.8,5.105
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,United States,46745.73,50011.51,22008.1,7589.0,2.9,6.59,24737.63,6.17333333
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Brazil,34051.1,36001.17,15842.7,5463.0,2.9,6.59,18208.4,6.23666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Japan,60048.26,76364.92,29283.85,11588.0,2.6975,6.59,30764.41,5.665
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Singapore,97534.43,104853.49,46141.9,15911.0,2.9,6.59,51392.53,6.13
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,France,39388.15,41839.91,18412.1,6349.0,2.9,6.59,20976.05,6.21666667
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Fax,Germany,13525.15,14399.15,6336.5,2185.0,2.9,6.59,7188.65,6.19
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United States,209592.06,235238.22,124283.88,18774.0,6.62,12.53,85308.18,11.427
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Canada,8489.36,12129.04,6408.16,968.0,6.62,12.53,2081.2,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Mexico,11962.28,17090.92,9029.68,1364.0,6.62,12.53,2932.6,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Brazil,7919.31,11314.59,5977.86,903.0,6.62,12.53,1941.45,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Japan,107959.17,124485.55,65769.7,9935.0,6.62,12.53,42189.47,11.28692308
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,China,46017.41,55219.71,29174.34,4407.0,6.62,12.53,16843.07,10.85666667
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Netherlands,24432.93,25448.43,13445.22,2031.0,6.62,12.53,10987.71,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Finland,27416.37,28555.87,15086.98,2279.0,6.62,12.53,12329.39,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Denmark,21677.06,26513.48,14007.92,2116.0,6.62,12.53,7669.14,11.02333333
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,France,47071.94,52951.78,27976.12,4226.0,6.62,12.53,19095.82,11.50666667
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,United Kingdom,108403.69,123934.23,65478.42,9891.0,6.62,12.53,42925.27,11.31666667
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Telephone,Austria,11237.69,13269.27,7010.58,1059.0,6.62,12.53,4227.11,11.02333333
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,United States,58425.59,66045.63,34894.02,5271.0,6.62,12.53,23531.57,11.48666667
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Mexico,54227.67,58853.41,31094.14,4697.0,6.62,12.53,23133.53,11.6375
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Korea,79294.15,88273.85,46637.9,7045.0,6.62,12.53,32656.25,11.54571429
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Singapore,77432.45,86820.37,45869.98,6929.0,6.62,12.53,31562.47,11.56428571
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Finland,8721.75,9084.25,4799.5,725.0,6.62,12.53,3922.25,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,France,42056.65,51936.85,27439.9,4145.0,6.62,12.53,14616.75,10.725999999999999
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Germany,36158.61,44218.37,23361.98,3529.0,6.62,12.53,12796.63,10.75
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Belgium,4860.0,5012.0,2648.0,400.0,6.62,12.53,2212.0,12.15
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Sales visit,Italy,56161.63,61610.01,32550.54,4917.0,6.62,12.53,23611.09,11.6375
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United States,156644.47,176334.69,93163.26,14073.0,6.62,12.53,63481.21,11.5
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Canada,56887.08,59191.72,31272.88,4724.0,6.62,12.53,25614.2,12.045
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Mexico,6748.83,7029.33,3713.82,561.0,6.62,12.53,3035.01,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Brazil,47810.43,52613.47,27797.38,4199.0,6.62,12.53,20013.05,11.6825
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Japan,40240.35,41912.85,22143.9,3345.0,6.62,12.53,18096.45,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Korea,50640.8,59479.91,31425.14,4747.0,6.62,12.53,19215.66,11.1825
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,China,140445.34,156324.28,82591.12,12476.0,6.62,12.53,57854.22,11.55222222
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Singapore,22123.17,23042.67,12174.18,1839.0,6.62,12.53,9948.99,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Netherlands,56802.39,66446.59,35105.86,5303.0,6.62,12.53,21696.53,11.09857143
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Sweden,13076.61,13620.11,7195.94,1087.0,6.62,12.53,5880.67,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Finland,69089.27,77447.93,40918.22,6181.0,6.62,12.53,28171.05,11.56428571
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Denmark,6351.84,6615.84,3495.36,528.0,6.62,12.53,2856.48,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,France,60353.04,62800.36,33179.44,5012.0,6.62,12.53,27173.6,12.045
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Germany,50627.21,52776.36,27883.44,4212.0,6.62,12.53,22743.77,12.02857143
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,United Kingdom,52519.3,57487.64,30372.56,4588.0,6.62,12.53,22146.74,11.6525
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Belgium,25113.83,28405.51,15007.54,2267.0,6.62,12.53,10106.29,11.474
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Austria,38383.55,42163.45,22276.3,3365.0,6.62,12.53,16107.25,11.77444444
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Italy,7073.64,7367.64,3892.56,588.0,6.62,12.53,3181.08,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Web,Spain,53777.57,59404.73,31385.42,4741.0,6.62,12.53,22392.15,11.6525
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Canada,13557.81,14121.31,7460.74,1127.0,6.62,12.53,6097.07,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Mexico,12342.03,12793.13,6759.02,1021.0,6.62,12.53,5583.01,12.09
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Special,Singapore,12909.44,18444.16,9744.64,1472.0,6.62,12.53,3164.8,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,United States,30439.81,36424.71,19244.34,2907.0,6.62,12.53,11195.47,10.94333333
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Korea,10514.22,10951.22,5785.88,874.0,6.62,12.53,4728.34,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Singapore,9575.88,9973.88,5269.52,796.0,6.62,12.53,4306.36,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,France,6688.68,6966.68,3680.72,556.0,6.62,12.53,3007.96,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Germany,7508.9,7906.43,4177.22,631.0,6.62,12.53,3331.68,11.9
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Mail,Spain,10959.3,11302.06,5971.24,902.0,6.62,12.53,4988.06,12.15
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Canada,85220.47,93060.31,49166.74,7427.0,6.62,12.53,36053.73,11.725
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Japan,52162.7,58828.35,31080.9,4695.0,6.62,12.53,21081.8,11.44333333
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Netherlands,8745.81,9109.31,4812.74,727.0,6.62,12.53,3933.07,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Sweden,34551.87,38078.67,20118.18,3039.0,6.62,12.53,14433.69,11.54666667
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Germany,72362.89,83111.49,43910.46,6633.0,6.62,12.53,28452.43,11.362
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Italy,22305.82,26964.56,14246.24,2152.0,6.62,12.53,8059.58,10.94333333
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,E-mail,Spain,8121.02,11602.78,6130.12,926.0,6.62,12.53,1990.9,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,United States,6796.95,7079.45,3740.3,565.0,6.62,12.53,3056.65,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Canada,6207.48,6465.48,3415.92,516.0,6.62,12.53,2791.56,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Brazil,18595.47,19308.73,10201.42,1541.0,6.62,12.53,8394.05,12.07
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Singapore,9660.09,10061.59,5315.86,803.0,6.62,12.53,4344.23,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Netherlands,8673.63,9034.13,4773.02,721.0,6.62,12.53,3900.61,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Finland,11050.2,15787.8,8341.2,1260.0,6.62,12.53,2709.0,8.77
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,France,28553.55,33041.61,17456.94,2637.0,6.62,12.53,11096.61,11.245
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Germany,7374.39,7680.89,4058.06,613.0,6.62,12.53,3316.33,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,United Kingdom,6496.2,6766.2,3574.8,540.0,6.62,12.53,2921.4,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Canteen,Fax,Spain,6063.12,6315.12,3336.48,504.0,6.62,12.53,2726.64,12.03
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,United States,422398.66,449225.0,300678.75,18875.0,15.93,23.8,121719.91,22.516
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Mexico,60063.81,65045.4,43536.69,2733.0,15.93,23.8,16527.12,22.135
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Brazil,49874.88,53835.6,36033.66,2262.0,15.93,23.8,13841.22,22.255
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Japan,153637.98,163196.6,109232.01,6857.0,15.93,23.8,44405.97,22.564
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Singapore,143364.09,154914.2,103688.37,6509.0,15.93,23.8,39675.72,22.16714286
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Netherlands,43780.6,45600.8,30521.88,1916.0,15.93,23.8,13258.72,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Sweden,13093.05,13637.4,9127.89,573.0,15.93,23.8,3965.16,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Finland,46294.1,48218.8,32274.18,2026.0,15.93,23.8,14019.92,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Denmark,60143.67,64498.0,43170.3,2710.0,15.93,23.8,16973.37,22.326
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,France,151294.93,161007.0,107766.45,6765.0,15.93,23.8,43528.48,22.516
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,United Kingdom,234305.84,249233.6,166818.96,10472.0,15.93,23.8,67486.88,22.49842105
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Austria,53484.6,56644.0,37913.4,2380.0,15.93,23.8,15571.2,22.61285714
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Telephone,Italy,10298.14,10614.8,7104.78,446.0,15.93,23.8,3193.36,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,United States,96725.24,102887.4,68865.39,4323.0,15.93,23.8,27859.85,22.612
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Mexico,48115.42,50027.6,33484.86,2102.0,15.93,23.8,14630.56,22.91
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Korea,35646.0,37128.0,24850.8,1560.0,15.93,23.8,10795.2,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,China,33650.82,37389.8,25026.03,1571.0,15.93,23.8,8624.79,21.42
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Singapore,89412.05,93129.4,62334.09,3913.0,15.93,23.8,27077.96,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Finland,52098.0,54264.0,36320.4,2280.0,15.93,23.8,15777.6,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Denmark,18033.29,18587.8,12441.33,781.0,15.93,23.8,5591.96,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,France,132727.54,140562.8,94082.58,5906.0,15.93,23.8,38644.96,22.612
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Germany,24974.32,25894.4,17331.84,1088.0,15.93,23.8,7642.48,22.97
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Belgium,12791.86,13185.2,8825.22,554.0,15.93,23.8,3966.64,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Sales visit,Italy,62961.29,68210.8,45655.38,2866.0,15.93,23.8,17305.91,22.135
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,United States,220003.68,229051.2,153310.32,9624.0,15.93,23.8,66693.36,22.86714286
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Canada,46995.0,48837.6,32688.36,2052.0,15.93,23.8,14306.64,22.91
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Mexico,50091.26,51931.6,34759.26,2182.0,15.93,23.8,15332.0,22.97
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Brazil,83601.75,86322.6,57778.11,3627.0,15.93,23.8,25823.64,23.06
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Japan,16406.3,17088.4,11437.74,718.0,15.93,23.8,4968.56,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Korea,149974.1,157889.2,105679.62,6634.0,15.93,23.8,44294.48,22.61
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,China,297392.3,315231.0,210992.85,13245.0,15.93,23.8,86399.45,22.54545455
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Netherlands,96053.54,102887.4,68865.39,4323.0,15.93,23.8,27188.15,22.37333333
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Finland,57719.1,60118.8,40239.18,2526.0,15.93,23.8,17479.92,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Denmark,21298.62,22419.6,15006.06,942.0,15.93,23.8,6292.56,22.61
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,France,44263.84,45886.4,30713.04,1928.0,15.93,23.8,13550.8,22.97
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Germany,47064.08,48932.8,32752.08,2056.0,15.93,23.8,14312.0,22.91
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,United Kingdom,62661.77,65426.2,43791.57,2749.0,15.93,23.8,18870.2,22.802
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Belgium,36229.1,38365.6,25679.16,1612.0,15.93,23.8,10549.94,22.6725
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Austria,32626.17,33629.4,22509.09,1413.0,15.93,23.8,10117.08,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Italy,12270.45,12780.6,8554.41,537.0,15.93,23.8,3716.04,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Web,Spain,87278.11,90225.8,60390.63,3791.0,15.93,23.8,26887.48,23.03
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Special,Canada,23284.86,24133.2,16153.02,1014.0,15.93,23.8,7131.84,22.97
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Special,Belgium,4271.65,4403.0,2947.05,185.0,15.93,23.8,1324.6,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Mail,United States,32881.15,34248.2,22923.27,1439.0,15.93,23.8,9957.88,22.85
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Mail,Japan,10529.04,10852.8,7264.08,456.0,15.93,23.8,3264.96,23.09
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,Mail,Netherlands,40491.39,42054.6,28148.31,1767.0,15.93,23.8,12343.08,22.93
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,United States,51686.46,57429.4,38439.09,2413.0,15.93,23.8,13247.37,21.42
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Canada,207479.23,219531.2,146938.32,9224.0,15.93,23.8,60540.91,22.59625
